"subject_id","rt","responses","question_order","date","type","Phase","time_elapsed","internal_node_id","response","key_press","ListLength","Trial_index","correct","Block","word1","word2","Context","ContextLabel","Context_position","ContextSize","NoneListType","cue","target","SequenceLength","sequence","letterSeen","queriedPosition","correct_01","Gender","Age","Cheated_pairs","Cheated_letters","validity_rt","validity","RoughContextSize","Error_type"
"0p3k92ho3rvaqpe",3.61,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2099384,"0.0-922.0","pink",32,20,2,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","maroon","pink",NA,NA,NA,6,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.79319999992847,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2104552,"0.0-926.0","rose",32,20,3,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","jade","rose",NA,NA,NA,18,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",5.002,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2113440,"0.0-930.0","brown",32,20,4,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","teal","brown",NA,NA,NA,8,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",6.47329999995232,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2123359,"0.0-934.0","sable",32,20,5,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","peach","sable",NA,NA,NA,11,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.77130000007153,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2128664,"0.0-938.0","orange",32,20,6,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","blue","orange",NA,NA,NA,16,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",2.47479999995232,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2134680,"0.0-942.0","karate",32,20,7,"TRUE",3,NA,NA,"./images/sports.jpg","sports","center","2","lowSimList","biking","karate",NA,NA,NA,7,1,"male",35,FALSE,FALSE,TRUE,TRUE,"1_small","Correct"
"0p3k92ho3rvaqpe",4.21860000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2144080,"0.0-946.0","bronze",32,20,8,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","ruby","bronze",NA,NA,NA,15,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",7.242,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2154960,"0.0-950.0","mint",32,20,9,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","olive","mint",NA,NA,NA,2,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",2.36219999992847,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2160568,"0.0-954.0","scarlet",32,20,10,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","rust","scarlet",NA,NA,NA,9,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",3.4985,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2168168,"0.0-958.0","lavender",32,20,11,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","sand","lavender",NA,NA,NA,4,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",2.16189999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2175184,"0.0-962.0","lilac",32,20,12,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","black","lilac",NA,NA,NA,3,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.52260000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2182409,"0.0-966.0","lime",32,20,13,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","aqua","lime",NA,NA,NA,19,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.482,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2187128,"0.0-970.0","indigo",32,20,14,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","magenta","indigo",NA,NA,NA,13,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.47489999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2192136,"0.0-974.0","cricket",32,20,15,"TRUE",3,NA,NA,"./images/sports.jpg","sports","center","2","lowSimList","cycling","cricket",NA,NA,NA,5,1,"male",35,FALSE,FALSE,TRUE,TRUE,"1_small","Correct"
"0p3k92ho3rvaqpe",1.611,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2197248,"0.0-978.0","coral",32,20,16,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","khaki","coral",NA,NA,NA,1,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.1635,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2201703,"0.0-982.0","white",32,20,17,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","sapphire","white",NA,NA,NA,20,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",2.21110000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2209464,"0.0-986.0","yellow",32,20,18,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","violet","yellow",NA,NA,NA,17,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.523,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2215264,"0.0-990.0","beige",32,20,19,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","silver","beige",NA,NA,NA,12,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.65860000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2220080,"0.0-994.0","green",32,20,20,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","purple","green",NA,NA,NA,14,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",5.347,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2751105,"0.0-1248.0","oven",32,20,1,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","office","oven",NA,NA,NA,13,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",3.9295,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2759513,"0.0-1252.0","fossil",32,20,2,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","road","fossil",NA,NA,NA,2,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",3.2735,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2766817,"0.0-1256.0","split",32,20,3,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","profit","split",NA,NA,NA,7,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",2.49689999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2773465,"0.0-1260.0","army",32,20,4,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","list","army",NA,NA,NA,15,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",7.35339999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2784800,"0.0-1264.0","nature",32,20,5,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","mark","nature",NA,NA,NA,10,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",5.93730000007153,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2794424,"0.0-1268.0","0",32,20,6,"FALSE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","mobile","dealer",NA,NA,NA,16,0,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Omission"
"0p3k92ho3rvaqpe",3.81180000007153,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2801377,"0.0-1272.0","pace",32,20,7,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","kneepad","pace",NA,NA,NA,9,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",3.86860000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2809577,"0.0-1276.0","purse",32,20,8,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","ladder","purse",NA,NA,NA,5,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",1.4815,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2815976,"0.0-1280.0","trouble",32,20,9,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","make","trouble",NA,NA,NA,6,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",2.66710000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2822689,"0.0-1284.0","mullet",32,20,10,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","bedroom","mullet",NA,NA,NA,8,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",5.89980000007153,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2832001,"0.0-1288.0","globe",32,20,11,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","bonsai","globe",NA,NA,NA,19,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",4.33760000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2840144,"0.0-1292.0","turbine",32,20,12,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","spot","turbine",NA,NA,NA,4,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",5.09980000007153,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2852257,"0.0-1296.0","0",32,20,13,"FALSE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","plan","name",NA,NA,NA,14,0,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Omission"
"0p3k92ho3rvaqpe",2.8265,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2858169,"0.0-1300.0","mouse",32,20,14,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","couple","mouse",NA,NA,NA,1,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",2.63360000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2864792,"0.0-1304.0","disk",32,20,15,"TRUE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","hair","disk",NA,NA,NA,3,1,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Correct"
"0p3k92ho3rvaqpe",1.37069999992847,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2869817,"0.0-1308.0","pepper",32,20,16,"FALSE",4,NA,NA,"./images/NoneContext.jpg","None","center","None","lowSimList","suit","paper",NA,NA,NA,18,0,"male",35,FALSE,FALSE,TRUE,TRUE,"0_NoneLowSim","Intrusion"
